parameter,lower_dc,upper_dc,lower_full,upper_full
a1,0.587213558025,0.6591742409,0.57645480325,0.66038422175
a2,0.7726522263,0.8533721957,0.97407959025,0.999879186
b1,0.079987101988381,0.14126562137075,0.12933998575,0.2151578635
b2,4.299040181025e-05,0.00651017097649999,1.705702265e-05,0.0053666989775
mu1,3.152075966,3.17921668825,3.3001418425,3.3282529475
mu2,1.98437090375,2.01500430275,2.1329683425,2.1612258925
r,0.555657570575,0.5846649341,0.574897333,0.6036090635
w1,0.1007452204625,0.117795232215,0.081208126425,0.098465785025
w2,0.17296908787,0.192521707555,0.1089881305,0.12273746475
